  aid   | bid | abalance |  type   |           iban           |               owner               |              email               |      phone       |         created          |   account_number   
--------+-----+----------+---------+--------------------------+-----------------------------------+----------------------------------+------------------+--------------------------+--------------------
  24202 |   1 |        0 | savings | CZ3201388080865433168280 | Ladislav Novák                    | jarosovamiroslava@seznam.cz      | +420 601 496 065 | Sat 13 Jan 2024, 07:32AM | sUrvp-24202-Ctver
  24207 |   1 |        0 | savings | CZ8376396257445481056888 | Sára Sýkorová                     | dostalradomir@seznam.cz          | +420 605 931 745 | Wed 17 Jan 2024, 07:20PM | uFCsK-24207-tICDD
  24209 |   1 |        0 | savings | CZ4305239561411749870720 | Andrea Veselá                     | vberanek@seznam.cz               | +420 705 887 160 | Fri 12 Jan 2024, 10:12AM | XegFs-24209-SKxLU
  24236 |   1 |     4910 | savings | CZ4042462437749173781376 | Ing. Miroslava Matějková          | jakub01@seznam.cz                | +420 776 470 295 | Wed 17 Jan 2024, 12:35PM | EsGug-24236-OOCPM
  24235 |   1 |    36229 | savings | CZ9695117483445976368288 | Žofie Hrušková                    | simekradomir@seznam.cz           | +420 797 723 994 | Thu 18 Jan 2024, 04:00AM | bPVjS-24235-BDgTg
  24271 |   1 |    -1890 | savings | CZ0264177795738115792099 | Sára Štěpánková                   | znavratilova@seznam.cz           | +420 702 963 759 | Mon 15 Jan 2024, 10:11PM | YGmgo-24271-rGIcL
  24278 |   1 |     3298 | savings | CZ2994520038419462110167 | Kamil Hruška Th.D.                | smidboleslav@seznam.cz           | +420 608 673 461 | Wed 17 Jan 2024, 04:15PM | gyrdg-24278-Cfxed
  24293 |   1 |     2894 | savings | CZ7834312537751965780423 | Bohuslav Horáček                  | jakub55@seznam.cz                | +420 604 680 730 | Sun 14 Jan 2024, 08:54PM | uNKas-24293-pJNOx
  24398 |   1 |        0 | savings | CZ8740930858997536893413 | Jarmila Fišerová                  | ndolezal@seznam.cz               | +420 723 909 974 | Mon 15 Jan 2024, 05:18PM | QEmWG-24398-JzgMg
  24422 |   1 |        0 | savings | CZ5603354267101982665218 | Dalibor Vávra                     | tumavladimir@seznam.cz           | +420 604 322 170 | Sun 14 Jan 2024, 07:45AM | sbwzP-24422-xXFLj
  24429 |   1 |        0 | savings | CZ9472003008846001218718 | Milan Růžička                     | krizvratislav@seznam.cz          | +420 721 229 330 | Wed 17 Jan 2024, 05:32AM | Aefhm-24429-Szcvh
  24434 |   1 |        0 | savings | CZ6774939295235494178361 | Alois Pospíšil                    | rihovadaniela@seznam.cz          | +420 705 374 318 | Sun 14 Jan 2024, 08:04PM | RPDMB-24434-nmDXg
  24448 |   1 |        0 | savings | CZ0275454248895216582988 | Ivan Navrátil                     | musilalexander@seznam.cz         | +420 608 614 689 | Sat 13 Jan 2024, 11:26PM | afRBq-24448-bCbEA
  24536 |   1 |        0 | savings | CZ6389055635325100282922 | Drahomíra Bláhová                 | qkucerova@seznam.cz              | +420 704 750 055 | Thu 18 Jan 2024, 06:26AM | rHOEa-24536-lSjMJ
  24572 |   1 |        0 | savings | CZ9798400938149465403909 | Bořivoj Novák                     | marie55@seznam.cz                | +420 604 591 249 | Fri 12 Jan 2024, 06:50AM | JYcru-24572-eNxKS
  24569 |   1 |     5166 | savings | CZ3722947672955121822799 | Daniela Dvořáková                 | holubivo@seznam.cz               | +420 603 274 338 | Sat 13 Jan 2024, 03:31AM | VEdvb-24569-qephM
  24571 |   1 |    -9294 | savings | CZ9739675710428777205587 | Viktorie Müllerová                | radomir74@seznam.cz              | +420 604 247 369 | Sun 14 Jan 2024, 08:46PM | KjOIm-24571-koCTI
  24586 |   1 |    -1904 | savings | CZ8933251348984752591294 | Štěpánka Kolářová                 | drahoslavtichy@seznam.cz         | +420 602 943 173 | Sat 13 Jan 2024, 11:50AM | ZHBIO-24586-eKvQc
  24610 |   1 |    -2480 | savings | CZ4376955331436033663410 | Bedřich Musil                     | bohuslavnovotny@seznam.cz        | +420 704 920 778 | Wed 17 Jan 2024, 01:57PM | PVifk-24610-mKEbs
  24691 |   1 |        0 | savings | CZ7239129230864055125902 | Klaudie Janečková                 | beranovadita@seznam.cz           | +420 705 818 041 | Thu 18 Jan 2024, 08:23AM | QABJO-24691-ajBJt
  24671 |   1 |     8625 | savings | CZ2923536949327009247371 | Blažena Jandová                   | hajkovapetra@seznam.cz           | +420 737 941 108 | Fri 12 Jan 2024, 02:43PM | bZFjR-24671-Mpymb
  24684 |   1 |     1980 | savings | CZ6367743661286822002331 | Oto Macháček                      | ruzenamala@seznam.cz             | +420 603 820 545 | Fri 12 Jan 2024, 05:00AM | rLFCF-24684-JyjTm
  24681 |   1 |     5200 | savings | CZ6533019758062644314260 | Zikmund Novotný                   | kopeckyroman@seznam.cz           | +420 702 676 656 | Sun 14 Jan 2024, 11:25AM | suFir-24681-uDvlQ
  24705 |   1 |     1419 | savings | CZ1321208848625081775976 | Vilma Pospíšilová                 | kolarpetr@seznam.cz              | +420 601 016 474 | Sun 14 Jan 2024, 06:42AM | SiHUX-24705-sERFX
  24702 |   1 |     9624 | savings | CZ2160434885139992971197 | Ludvík Beránek                    | vkraus@seznam.cz                 | +420 604 928 176 | Thu 18 Jan 2024, 01:55PM | dheOB-24702-NFiHT
  24791 |   1 |    13174 | savings | CZ0536979263775433472563 | Jozef Brož                        | maresdrahoslav@seznam.cz         | +420 608 681 273 | Mon 15 Jan 2024, 07:02PM | bFhCc-24791-pBUqm
  24809 |   1 |        0 | savings | CZ5654903960627900755889 | Otakar Hájek                      | pospisilovavendula@seznam.cz     | +420 604 523 071 | Sun 14 Jan 2024, 10:27PM | IlyzI-24809-gxtlX
  24856 |   1 |        0 | savings | CZ7761187906259137742411 | Richard Jaroš                     | mullerigor@seznam.cz             | +420 727 672 990 | Thu 18 Jan 2024, 02:10AM | LDumR-24856-gyNdt
  24897 |   1 |        0 | savings | CZ8047001392508367798305 | Silvie Kolářová                   | fnemec@seznam.cz                 | +420 702 563 386 | Sun 14 Jan 2024, 01:46PM | nkldR-24897-sSgpv
  24953 |   1 |     9146 | savings | CZ0456011804895228460733 | Karel Fiala                       | kovarbohumir@seznam.cz           | +420 605 294 337 | Wed 17 Jan 2024, 04:10PM | cRFJH-24953-klVap
  24957 |   1 |    -4545 | savings | CZ5020352558413539909890 | Kristina Švecová                  | marekjonas@seznam.cz             | +420 602 982 231 | Thu 18 Jan 2024, 11:42AM | XsemW-24957-PvygR
  24944 |   1 |     3080 | savings | CZ8454869880647056638978 | Luděk Dvořák Ph.D.                | janvlcek@seznam.cz               | +420 734 233 123 | Sat 13 Jan 2024, 02:28PM | KckPo-24944-tvDiE
  24992 |   1 |        0 | savings | CZ1092359942327337004448 | Boleslav Vaněk                    | rhavel@seznam.cz                 | +420 601 874 354 | Tue 16 Jan 2024, 01:03AM | OViLd-24992-ESuam
  25049 |   1 |        0 | savings | CZ5706672193903734988868 | Marek Horáček                     | malyarnost@seznam.cz             | +420 705 555 255 | Wed 17 Jan 2024, 04:01PM | pKiFp-25049-JzTgU
  25082 |   1 |    -9706 | savings | CZ8680611484797034426852 | Lucie Hrubá                       | viktor42@seznam.cz               | +420 799 357 639 | Sun 14 Jan 2024, 09:34PM | FlWOw-25082-uLxOu
  25292 |   1 |        0 | savings | CZ4204702350018189706373 | Bedřich Vlček                     | bartosovaanezka@seznam.cz        | +420 607 734 898 | Sun 14 Jan 2024, 10:54AM | uYTdv-25292-LHvNT
  25323 |   1 |        0 | savings | CZ5838992871240892336536 | Drahomíra Kučerová                | sedlacekmarek@seznam.cz          | +420 604 084 545 | Sat 13 Jan 2024, 08:46PM | PPloD-25323-NasuG
  25311 |   1 |     8394 | savings | CZ7948478035648609325970 | Alena Hrubá                       | jhajkova@seznam.cz               | +420 604 014 589 | Tue 16 Jan 2024, 06:17PM | xJEGE-25311-kIJdI
  25360 |   1 |        0 | savings | CZ0216370085626054403684 | Bohumír Hrubý                     | soukupovamilena@seznam.cz        | +420 603 299 152 | Mon 15 Jan 2024, 07:19PM | UsqyL-25360-inyft
  25367 |   1 |        0 | savings | CZ9788121169442840151798 | Milada Říhová                     | deniszeman@seznam.cz             | +420 603 528 396 | Sun 14 Jan 2024, 04:29AM | JbbEr-25367-UkggY
  58478 |   1 |   -13115 | savings | CZ7983410850912736742046 | Dana Vítková                      | jnemecek@seznam.cz               | +420 790 970 219 | Mon 15 Jan 2024, 06:53PM | FRwVO-58478-cbksR
